time_s,DP_module_m2_s2
23.7589,27.98032617
23.7648,27.980513074
23.7707,27.980172744
23.7766,27.980504444
23.7825,27.980318066
23.7884,27.980452033
23.7943,27.980298014
23.8002,27.980544432
23.8061,27.980270239
23.8121,27.980401934
23.818,27.980293856
23.8239,27.98049352
23.8298,27.980269898
23.8357,27.980492276
23.8416,27.980324244
23.8475,27.980602225
23.8534,27.98048808
23.8593,27.980600058
23.8652,27.980439218
23.8712,27.980702643
23.8771,27.980444934
23.883,27.980676369
23.8889,27.980501104
23.8948,27.980661919
23.9007,27.980449485
23.9066,27.980710773
23.9125,27.980489811
23.9184,27.980691505
23.9243,27.98058864
23.9303,27.980693832
23.9362,27.980530022
23.9421,27.980796419
23.948,27.98049829
23.9539,27.980663538
23.9598,27.980591086
23.9657,27.980779747
23.9716,27.980503668
23.9775,27.980731004
23.9835,27.980488803
23.9894,27.980719329
23.9953,27.980496595
24.0012,27.98059934
24.0071,27.980298955
24.013,27.980549374
24.0189,27.980178631
24.0248,27.98034246
24.0307,27.980167478
24.0366,27.980330216
24.0426,27.980004876
24.0485,27.980318602
24.0544,27.980009347
24.0603,27.980239389
24.0662,27.980151104
24.0721,27.980232491
24.078,27.980152226
24.0839,27.980396153
24.0898,27.980104558
24.0957,27.980406984
24.1017,27.980217649
24.1076,27.980504705
24.1135,27.98035096
24.1194,27.980622037
24.1253,27.980446715
24.1312,27.980674211
24.1371,27.980535948
24.143,27.980707812
24.1489,27.98052008
24.1548,27.980741927
24.1608,27.980543719
24.1667,27.980638458
24.1726,27.980558992
24.1785,27.980616134
24.1844,27.980469431
24.1903,27.980655051
24.1962,27.980398442
24.2021,27.980562053
24.208,27.980430035
24.2139,27.98055055
24.2199,27.980343969
24.2258,27.980584035
24.2317,27.980324864
24.2376,27.98044289
24.2435,27.980347804
24.2494,27.980476349
24.2553,27.980374908
24.2612,27.980546199
24.2671,27.980324769
24.273,27.980432179
24.279,27.98021306
24.2849,27.98036406
24.2908,27.980136693
24.2967,27.980296799
24.3026,27.980072283
24.3085,27.980217658
24.3144,27.980128995
24.3203,27.980268239
24.3262,27.980153394
24.3322,27.980373858
24.3381,27.980131112
24.344,27.980246509
24.3499,27.980128167
24.3558,27.980241542
24.3617,27.980056484
24.3676,27.980301041
24.3735,27.980084525
24.3794,27.980318633
24.3853,27.980156608
24.3913,27.980374729
24.3972,27.980258549
24.4031,27.980407882
24.409,27.980318043
24.4149,27.980430198
24.4208,27.980274114
24.4267,27.980451645
24.4326,27.980251994
24.4385,27.980448744
24.4444,27.980326575
24.4504,27.980400075
24.4563,27.980313954
24.4622,27.980510262
24.4681,27.980304383
24.474,27.980545947
24.4799,27.980306652
24.4858,27.980522495
24.4917,27.980390785
24.4976,27.980548275
24.5035,27.980328219
24.5095,27.980489301
24.5154,27.980322544
24.5213,27.980378329
24.5272,27.980282967
24.5331,27.980335168
24.539,27.980146558
24.5449,27.980315825
24.5508,27.980070438
24.5567,27.980156732
24.5626,27.980043036
24.5686,27.980149729
24.5745,27.979855016
24.5804,27.980085889
24.5863,27.97987879
24.5922,27.979971708
24.5981,27.97993499
24.604,27.980111049
