# F28 centrebody profile -- THE REGISTERED ARTIFACT of section 4.
# Actuator-disk representation; no rotor.
# nose: C1 smoothstep TANGENT TO THE AXIS at the apex (x=-0.03);
# tail: STRAIGHT CONE terminating AT the exit plane (section 7.1).
x_m,r_m
0.042795,0.0366422729209
0.04291,0.0366685882074
0.043025,0.0366945209633
0.04314,0.036720069852
0.043255,0.0367452335367
0.04337,0.0367700106807
0.043485,0.0367943999474
0.0436,0.0368184
0.043715,0.0368420095018
0.04383,0.0368652271162
0.043945,0.0368880515063
0.04406,0.0369104813355
0.044175,0.0369325152672
0.04429,0.0369541519645
0.044405,0.0369753900908
0.04452,0.0369962283094
0.044635,0.0370166652835
0.04475,0.0370366996765
0.044865,0.0370563301517
0.04498,0.0370755553723
0.045095,0.0370943740016
0.04521,0.037112784703
0.045325,0.0371307861397
0.04544,0.037148376975
0.045555,0.0371655558722
0.04567,0.0371823214947
0.045785,0.0371986725056
0.0459,0.0372146075684
0.046015,0.0372301253462
0.04613,0.0372452245024
0.046245,0.0372599037003
0.04636,0.0372741616031
0.046475,0.0372879968742
0.04659,0.0373014081769
0.046705,0.0373143941744
0.04682,0.0373269535301
0.046935,0.0373390849072
0.04705,0.037350786969
0.047165,0.0373620583788
0.04728,0.0373728978
0.047395,0.0373833038958
0.04751,0.0373932753294
0.047625,0.0374028107643
0.04774,0.0374119088637
0.047855,0.0374205682908
0.04797,0.037428787709
0.048085,0.0374365657816
0.0482,0.0374439011719
0.048315,0.0374507925431
0.04843,0.0374572385585
0.048545,0.0374632378815
0.04866,0.0374687891754
0.048775,0.0374738911034
0.04889,0.0374785423288
0.049005,0.0374827415149
0.04912,0.037486487325
0.049235,0.0374897784224
0.04935,0.0374926134705
0.049465,0.0374949911324
0.04958,0.0374969100715
0.049695,0.0374983689511
0.04981,0.0374993664344
0.049925,0.0374999011848
0.05004,0.0375
0.050155,0.0375
0.05027,0.0375
0.050385,0.0375
0.0505,0.0375
0.050615,0.0375
0.05073,0.0375
0.050845,0.0375
0.05096,0.0375
0.051075,0.0375
0.05119,0.0375
0.051305,0.0375
0.05142,0.0375
0.051535,0.0375
0.05165,0.0375
0.051765,0.0375
0.05188,0.0375
0.051995,0.0375
0.05211,0.0375
0.052225,0.0375
0.05234,0.0375
0.052455,0.0375
0.05257,0.0375
0.052685,0.0375
0.0528,0.0375
0.052915,0.0375
0.05303,0.0375
0.053145,0.0375
0.05326,0.0375
0.053375,0.0375
0.05349,0.0375
0.053605,0.0375
0.05372,0.0375
0.053835,0.0375
0.05395,0.0375
0.054065,0.0375
0.05418,0.0375
0.054295,0.0375
0.05441,0.0375
0.054525,0.0375
0.05464,0.0375
0.054755,0.0375
0.05487,0.0375
0.054985,0.0375
0.0551,0.0375
0.055215,0.0375
0.05533,0.0375
0.055445,0.0375
0.05556,0.0375
0.055675,0.0375
0.05579,0.0375
0.055905,0.0375
0.05602,0.0375
0.056135,0.0375
0.05625,0.0375
0.056365,0.0375
0.05648,0.0375
0.056595,0.0375
0.05671,0.0375
0.056825,0.0375
0.05694,0.0375
0.057055,0.0375
0.05717,0.0375
0.057285,0.0375
0.0574,0.0375
0.057515,0.0375
0.05763,0.0375
0.057745,0.0375
0.05786,0.0375
0.057975,0.0375
0.05809,0.0375
0.058205,0.0375
0.05832,0.0375
0.058435,0.0375
0.05855,0.0375
0.058665,0.0375
0.05878,0.0375
0.058895,0.0375
0.05901,0.0375
0.059125,0.0375
0.05924,0.0375
0.059355,0.0375
0.05947,0.0375
0.059585,0.0375
0.0597,0.0375
0.059815,0.0375
0.05993,0.0375
0.060045,0.0375
0.06016,0.0375
0.060275,0.0375
0.06039,0.0375
0.060505,0.0375
0.06062,0.0375
0.060735,0.0375
0.06085,0.0375
0.060965,0.0375
0.06108,0.0375
0.061195,0.0375
0.06131,0.0375
0.061425,0.0375
0.06154,0.0375
0.061655,0.0375
0.06177,0.0375
0.061885,0.0375
0.062,0.0375
0.062115,0.0375
0.06223,0.0375
0.062345,0.0375
0.06246,0.0375
0.062575,0.0375
0.06269,0.0375
0.062805,0.0375
0.06292,0.0375
0.063035,0.0375
0.06315,0.0375
0.063265,0.0375
0.06338,0.0375
0.063495,0.0375
0.06361,0.0375
0.063725,0.0375
0.06384,0.0375
0.063955,0.0375
0.06407,0.0375
0.064185,0.0375
0.0643,0.0375
0.064415,0.0375
0.06453,0.0375
0.064645,0.0375
0.06476,0.0375
0.064875,0.0375
0.06499,0.0375
0.065105,0.0375
0.06522,0.0375
0.065335,0.0375
0.06545,0.0375
0.065565,0.0375
0.06568,0.0375
0.065795,0.0375
0.06591,0.0375
0.066025,0.0375
0.06614,0.0375
0.066255,0.0375
0.06637,0.0375
0.066485,0.0375
0.0666,0.0375
0.066715,0.0375
0.06683,0.0375
0.066945,0.0375
0.06706,0.0375
0.067175,0.0375
0.06729,0.0375
0.067405,0.0375
0.06752,0.0375
0.067635,0.0375
0.06775,0.0375
0.067865,0.0375
0.06798,0.0375
0.068095,0.0375
0.06821,0.0375
0.068325,0.0375
0.06844,0.0375
0.068555,0.0375
0.06867,0.0375
0.068785,0.0375
0.0689,0.0375
0.069015,0.0375
0.06913,0.0375
0.069245,0.0375
0.06936,0.0375
0.069475,0.0375
0.06959,0.0375
0.069705,0.0375
0.06982,0.0375
0.069935,0.0375
0.07005,0.0375
0.070165,0.0375
0.07028,0.0375
0.070395,0.0375
0.07051,0.0375
0.070625,0.0375
0.07074,0.0375
0.070855,0.0375
0.07097,0.0375
0.071085,0.0375
0.0712,0.0375
0.071315,0.0375
0.07143,0.0375
0.071545,0.0375
0.07166,0.0375
0.071775,0.0375
0.07189,0.0375
0.072005,0.0375
0.07212,0.0375
0.072235,0.0375
0.07235,0.0375
0.072465,0.0375
0.07258,0.0375
0.072695,0.0375
0.07281,0.0375
0.072925,0.0375
0.07304,0.0375
0.073155,0.0375
0.07327,0.0375
0.073385,0.0375
0.0735,0.0375
0.073615,0.0375
0.07373,0.0375
0.073845,0.0375
0.07396,0.0375
0.074075,0.0375
0.07419,0.0375
0.074305,0.0375
0.07442,0.0375
0.074535,0.0375
0.07465,0.0375
0.074765,0.0375
0.07488,0.0375
0.074995,0.0375
0.07511,0.0375
0.075225,0.0375
0.07534,0.0375
0.075455,0.0375
0.07557,0.0375
0.075685,0.0375
0.0758,0.0375
0.075915,0.0375
0.07603,0.0375
0.076145,0.0375
0.07626,0.0375
0.076375,0.0375
0.07649,0.0375
0.076605,0.0375
0.07672,0.0375
0.076835,0.0375
0.07695,0.0375
0.077065,0.0375
0.07718,0.0375
0.077295,0.0375
0.07741,0.0375
0.077525,0.0375
0.07764,0.0375
0.077755,0.0375
0.07787,0.0375
0.077985,0.0375
0.0781,0.0375
0.078215,0.0375
0.07833,0.0375
0.078445,0.0375
0.07856,0.0375
0.078675,0.0375
0.07879,0.0375
0.078905,0.0375
0.07902,0.0375
0.079135,0.0375
0.07925,0.0375
0.079365,0.0375
0.07948,0.0375
0.079595,0.0375
0.07971,0.0375
0.079825,0.0375
0.07994,0.0375
0.080055,0.0375
0.08017,0.0375
0.080285,0.0375
0.0804,0.0375
0.080515,0.0375
0.08063,0.0375
0.080745,0.0375
0.08086,0.0375
0.080975,0.0375
0.08109,0.0375
0.081205,0.0375
0.08132,0.0375
0.081435,0.0375
0.08155,0.0375
0.081665,0.0375
0.08178,0.0375
0.081895,0.0375
0.08201,0.0375
0.082125,0.0375
0.08224,0.0375
0.082355,0.0375
0.08247,0.0375
0.082585,0.0375
0.0827,0.0375
0.082815,0.0375
0.08293,0.0375
0.083045,0.0375
0.08316,0.0375
0.083275,0.0375
0.08339,0.0375
0.083505,0.0375
0.08362,0.0375
0.083735,0.0375
0.08385,0.0375
0.083965,0.0375
0.08408,0.0375
0.084195,0.0375
0.08431,0.0375
0.084425,0.0375
0.08454,0.0375
0.084655,0.0375
0.08477,0.0375
0.084885,0.0375
0.085,0.0375
0.085115,0.0375
0.08523,0.0375
