# Solver information
# Time              	U_solver            	Ux_initial          	Ux_final            	Ux_iters            	Uy_initial          	Uy_final            	Uy_iters            	U_converged         	p_solver            	p_initial           	p_final             	p_iters             	p_converged         
132                 	DILUPBiCGStab	3.133488052210e-04	2.272595460690e-05	1	5.376006578760e-04	3.843682754890e-05	1	false	DICPCG	6.100940549030e-04	5.655839956670e-06	68	true
133                 	DILUPBiCGStab	3.052166018760e-04	2.213137383590e-05	1	5.238215481170e-04	3.741520782540e-05	1	false	DICPCG	5.930476148620e-04	5.589389018430e-06	68	true
134                 	DILUPBiCGStab	2.972955587950e-04	2.155282821070e-05	1	5.103999624180e-04	3.642200984300e-05	1	false	DICPCG	5.765219465070e-04	5.221532961630e-06	68	true
135                 	DILUPBiCGStab	2.895809992660e-04	2.098971177000e-05	1	4.973323718950e-04	3.545573236680e-05	1	false	DICPCG	5.604917637070e-04	5.006858750550e-06	68	true
136                 	DILUPBiCGStab	2.820685452320e-04	2.044162872730e-05	1	4.846059582590e-04	3.451585385420e-05	1	false	DICPCG	5.449263127540e-04	4.572704721480e-06	68	true
137                 	DILUPBiCGStab	2.747538378960e-04	1.990812259800e-05	1	4.722107318110e-04	3.360176368340e-05	1	false	DICPCG	5.298317707480e-04	4.729317255000e-06	68	true
138                 	DILUPBiCGStab	2.676302154630e-04	1.938875801100e-05	1	4.601357023640e-04	3.271248475220e-05	1	false	DICPCG	5.151657958240e-04	4.581173993490e-06	68	true
139                 	DILUPBiCGStab	2.606933515090e-04	1.888332361850e-05	1	4.483748547020e-04	3.184789388070e-05	1	false	DICPCG	5.008900940750e-04	4.397507270720e-06	68	true
140                 	DILUPBiCGStab	2.539393429030e-04	1.839134070930e-05	1	4.369195682030e-04	3.100703726340e-05	1	false	DICPCG	4.870263093180e-04	4.652815199060e-06	68	true
141                 	DILUPBiCGStab	2.473625256400e-04	1.791240065640e-05	1	4.257629883350e-04	3.018950760000e-05	1	false	DICPCG	4.735464712090e-04	4.411090638730e-06	68	true
142                 	DILUPBiCGStab	2.409590866400e-04	1.744625123530e-05	1	4.148973371770e-04	2.939433437290e-05	1	false	DICPCG	4.604428860170e-04	4.295304485610e-06	68	true
143                 	DILUPBiCGStab	2.347243783940e-04	1.699250429910e-05	1	4.043149440650e-04	2.862077058550e-05	1	false	DICPCG	4.477065232390e-04	4.186220268830e-06	68	true
144                 	DILUPBiCGStab	2.286530949050e-04	1.655079133310e-05	1	3.940076393220e-04	2.786821727130e-05	1	false	DICPCG	4.353270655740e-04	3.976559709620e-06	68	true
145                 	DILUPBiCGStab	2.227406360960e-04	1.612078977140e-05	1	3.839684137830e-04	2.713595355670e-05	1	false	DICPCG	4.232984104630e-04	4.036185047530e-06	68	true
146                 	DILUPBiCGStab	2.169827432890e-04	1.570214791630e-05	1	3.741912122450e-04	2.642355726230e-05	1	false	DICPCG	4.116086154850e-04	3.951190127190e-06	68	true
147                 	DILUPBiCGStab	2.113754145160e-04	1.529457962400e-05	1	3.646682973140e-04	2.573037573330e-05	1	false	DICPCG	4.001910799440e-04	3.637470582190e-06	68	true
